goal,frequency,bits,theoretical_bits,efficiency_percent
"(0, 0)",200,0.003901118878275156,0.9560566524124031,24507.242210345426
"(7, 7)",100,0.025844834744930267,1.9560566524124032,7568.462602749294
"(3, 4)",50,0.018997464329004288,2.956056652412403,15560.26952449258
"(4, 3)",25,0.01893598958849907,3.956056652412403,20891.73440829914
"(1, 6)",12,0.01868308149278164,5.014950341465972,26842.20128999351
"(6, 1)",1,0.018383830785751343,8.599912842187127,46779.76501422443
